stock_code,name,close,price_change_rate,rps,ma5,ma10,ma20,ma_strength
002616,长青集团,5.86,19.59,89,5.916,5.904,5.702,15.03
603067,振华股份,18.09,19.56,89,18.084,17.517,16.626,28.41
300539,横河精密,14.92,19.55,89,15.12,15.374,14.868,19.74
836942,恒立钻具,19.47,19.52,89,19.578,,,
300521,爱司凯,25.96,19.47,89,25.768,24.152,22.525,18.37
300022,吉峰科技,6.88,19.44,89,7.086,6.969,6.589,24.86
301101,明月镜片,55.29,19.19,89,57.738,57.234,55.8085,22.65
301009,可靠股份,13.18,19.17,89,12.22,12.407,11.848,7.84
688279,峰岹科技,267.01,19.15,89,272.34,,,
002172,澳洋健康,4.05,19.12,89,3.772,3.633,3.5595,10.96
834014,特瑞斯,14.33,19.02,88,13.844,,,
300503,昊志机电,27.61,19.01,88,28.094,27.772,27.332,21.02
002245,蔚蓝锂芯,15.16,19.0,88,15.528,15.501,14.937,22.28
301263,泰恩康,20.03,18.94,88,20.64,20.248,19.1295,22.93
002842,翔鹭钨业,7.95,18.83,88,7.852,7.703,7.4855,13.92
301398,星源卓镁,61.0,18.79,88,58.932,59.009,58.7945,12.11
688557,兰剑智能,24.9,18.63,88,25.54,,,
603819,神力股份,15.82,18.59,88,14.982,14.256,14.2365,14.97
603915,国茂股份,17.65,18.54,88,18.032,18.171,18.1285,23.83
301107,瑜欣电子,32.98,18.38,88,32.482,31.432,30.4295,16.44
600506,统一股份,21.87,18.34,88,22.044,20.881,20.3085,15.1
603360,百傲化学,30.94,18.14,88,31.424,32.741,31.065,22.52
001333,光华股份,21.46,18.11,88,23.192,22.536,20.427,24.67
003018,金富科技,11.5,18.07,87,11.086,10.459,10.066,14.21
300321,同大股份,29.74,17.92,87,29.93,30.629,29.549,23.45
301273,瑞晨环保,24.45,17.83,87,23.71,22.992,22.181,18.7
300533,冰川网络,28.06,17.65,87,26.02,25.3,24.3955,16.04
605389,长龄液压,31.35,17.46,87,31.782,30.939,29.9505,16.61
002620,瑞和股份,3.91,17.42,87,3.834,3.75,3.646,7.42
300383,光环新网,20.71,17.4,87,20.62,20.303,19.973,27.5
688696,极米科技,134.36,17.22,87,133.228,,,
600965,福成股份,5.0,17.1,86,4.836,4.781,4.659,7.93
300430,诚益通,20.46,16.91,86,19.648,18.677,18.2105,15.78
605118,力鼎光电,22.85,16.88,86,21.858,20.765,20.2575,16.14
834639,晨光电缆,8.15,16.76,86,7.784,,,
300145,中金环境,4.53,16.75,86,4.444,4.392,4.2565,15.56
603359,东珠生态,5.51,16.74,86,5.666,5.435,5.146,14.33
688585,上纬新材,8.03,16.72,86,7.816,,,
603081,大丰实业,15.35,16.64,86,15.224,14.994,14.3715,20.08
301550,斯菱股份,127.01,16.52,86,128.146,126.735,125.234,32.22
002837,英维克,49.2,16.45,86,47.71,46.232,46.1555,15.52
002357,富临运业,8.69,16.33,86,8.882,9.154,8.8265,13.15
301018,申菱环境,48.22,16.25,85,48.776,48.355,48.123,17.58
603416,信捷电气,56.8,16.2,85,56.446,53.835,52.7345,21.98
000889,ST中嘉,2.76,15.97,85,2.704,2.642,2.5345,8.52
002931,锋龙股份,18.6,15.89,85,17.948,17.925,17.33,8.9
002879,长缆科技,19.43,15.79,85,19.09,18.871,18.291,15.72
600302,标准股份,5.88,15.75,85,5.854,5.556,5.567,13.38
688256,寒武纪-U,758.0,15.55,85,768.998,,,
603278,大业股份,11.61,15.52,85,12.128,12.517,12.154,22.84
003028,振邦智能,45.95,15.51,85,46.756,47.179,45.6025,17.29
002518,科士达,29.74,15.45,85,29.318,28.379,28.079,19.22
688219,会通股份,13.7,15.32,85,14.046,,,
300512,中亚股份,8.45,15.28,84,8.548,8.56,8.1085,15.54
000701,厦门信达,5.62,15.16,84,5.386,5.196,5.0825,9.48
603158,腾龙股份,10.19,15.14,84,10.256,9.893,9.546,16.37
300733,西菱动力,17.56,15.07,84,17.494,17.121,16.5975,22.43
873593,鼎智科技,57.64,15.05,84,59.514,,,
300074,华平股份,5.12,14.8,84,5.254,5.198,5.1465,16.61
002076,星光股份,3.88,14.79,84,3.838,3.855,3.769,13.34
001331,胜通能源,12.73,14.58,83,12.514,12.186,11.729,11.18
603810,丰山集团,12.36,14.55,83,12.738,12.913,11.9975,21.75
603088,宁波精达,11.12,14.52,83,11.394,10.983,10.604,15.95
688116,天奈科技,49.19,14.45,83,48.062,,,
834407,驰诚股份,30.09,14.11,83,28.814,,,
688607,康众医疗,17.5,13.93,82,16.7,,,
300099,尤洛卡,7.25,13.81,82,7.546,7.453,6.969,17.07
603701,德宏股份,16.65,13.65,82,16.684,16.389,15.8785,12.86
003021,兆威机电,147.66,13.6,82,153.344,153.055,144.408,42.43
688081,兴图新科,21.27,13.5,82,21.046,,,
300213,佳讯飞鸿,9.7,13.45,82,9.558,9.75,9.5015,12.1
002402,和而泰,22.86,13.45,82,22.154,21.635,21.4255,12.81
301007,德迈仕,24.95,13.41,82,26.002,25.233,23.867,27.07
603320,迪贝电气,18.79,13.33,82,18.87,18.943,18.1955,13.9
301037,保立佳,12.85,13.32,82,12.834,13.018,12.466,11.17
300995,奇德新材,19.66,13.25,82,18.794,18.312,17.92,10.96
300658,延江股份,6.42,13.23,82,6.27,6.065,5.8535,12.75
002747,埃斯顿,23.56,13.11,81,24.056,24.125,23.9925,15.77
002334,英威腾,9.42,13.09,81,9.508,9.507,9.4545,15.65
002031,巨轮智能,9.9,12.88,81,10.168,10.395,9.953,34.07
002139,拓邦股份,17.17,12.66,81,17.406,17.178,16.874,17.1
001268,联合精密,21.51,12.62,80,21.722,20.968,20.1695,14.05
603272,联翔股份,16.95,12.48,80,16.748,16.145,15.663,11.3
688021,奥福环保,12.37,12.45,80,12.234,11.87,11.4615,12.86
603322,超讯通信,47.18,12.17,80,47.782,48.064,48.2825,13.32
301127,天源环保,19.08,12.1,80,18.576,18.173,17.8825,15.0
300520,科大国创,28.78,12.03,79,27.938,27.562,27.1915,10.64
300580,贝斯特,32.92,12.01,79,33.862,34.222,33.4475,20.24
688698,伟创电气,61.07,11.95,79,62.606,,,
001230,劲旅环境,20.0,11.73,79,18.886,18.759,18.312,8.14
603968,醋化股份,10.96,11.72,79,10.976,10.542,10.2745,12.01
002723,小崧股份,8.49,11.71,79,8.64,8.764,8.5895,12.37
600815,厦工股份,2.96,11.7,79,2.982,2.916,2.8285,9.43
603012,创力集团,6.21,11.69,79,6.314,6.326,5.9545,13.72
603011,合锻智能,8.27,11.61,79,8.436,8.454,8.1485,12.95
600728,佳都科技,5.79,11.56,78,5.88,5.747,5.6255,15.72
000534,万泽股份,16.9,11.55,78,16.802,16.516,15.8405,16.4
301112,信邦智能,27.92,11.41,78,28.276,28.518,27.2825,11.74
603506,南都物业,10.35,11.41,78,10.468,10.078,9.8395,14.21
603118,共进股份,11.77,11.35,78,11.968,12.427,12.197,13.74
605378,野马电池,25.46,11.32,78,26.14,27.027,25.828,17.06
002886,沃特股份,20.86,11.31,78,20.968,20.706,20.6195,15.19
600498,烽火通信,24.11,11.26,78,24.308,24.479,25.443,13.46
300838,浙江力诺,16.8,11.26,78,16.314,15.959,15.7005,14.77
002553,南方精工,16.63,11.16,77,16.812,16.27,15.9475,15.16
001223,欧克科技,54.6,11.02,77,55.608,55.69,53.6815,19.04
002632,道明光学,10.09,11.0,77,9.782,9.743,9.607,9.11
603637,镇海股份,9.79,11.0,77,9.958,10.041,9.7955,11.63
000779,甘咨询,9.79,11.0,77,9.948,9.643,9.32,15.85
